total_gb	pin_layers	pin_gb	cache_gb	cache_slots	s_per_tok	expert_hit_true	expert_hit_naive	trunk_hit	gb_read	peak_rss_gb	io_share	ids
8	0	0.0	0.49	28	32.69	0.0	100.0	0.0	25.83	8.24	57.3	17374,20829,10,427,414,1008,606,142957
12	0	0.0	2.79	159	31.41	0.0	100.0	0.0	25.83	10.53	59.6	17374,20829,10,427,414,1008,606,142957
16	3	4.95	4.39	250	32.21	0.0	100.0	2.8	25.83	16.0	55.8	17374,20829,10,427,414,1008,606,142957
24	7	9.71	7.58	432	31.85	0.0	100.0	6.6	25.83	23.95	55.2	17374,20829,10,427,414,1008,606,142957
32	11	14.46	10.8	615	31.44	0.0	100.0	10.3	25.83	31.9	53.6	17374,20829,10,427,414,1008,606,142957
48	19	23.96	17.19	979	29.76	0.0	100.0	17.9	25.83	47.8	51.9	17374,20829,10,427,414,1008,606,142957
64	27	33.46	23.59	1344	28.6	0.0	100.0	25.4	25.83	63.71	53.6	17374,20829,10,427,414,1008,606,142957
96	43	52.47	36.39	2073	24.4	29.89	100.0	40.5	18.11	95.51	47.2	17374,20829,10,427,414,1008,606,142957
128	60	72.34	49.19	2802	29.4	32.2	100.0	56.5	17.51	128.18	60.6	17374,20829,10,427,414,1008,606,142957
160	76	91.34	61.99	3531	26.31	33.08	100.0	71.5	17.28	159.98	47.4	17374,20829,10,427,414,1008,606,142957
192	90	108.19	77.0	4386	21.32	35.53	100.0	84.7	16.65	191.83	49.9	17374,20829,10,427,414,1008,606,142957
224	90	108.19	108.98	6208	19.21	43.75	99.93	84.7	14.53	223.82	40.9	17374,20829,10,427,414,1008,606,142957
